targets, factors
GATA2, GATA2 & !(GATA1 & ZFPM1) & !SPI1
GATA1, (GATA1 | GATA2 | FLI1) & !SPI1
ZFPM1, GATA1
KLF1, GATA1 & !FLI1
FLI1, GATA1 & !KLF1
TAL1, GATA1 & !SPI1
CEBPA, CEBPA & !(GATA1 & ZFPM1 & TAL1)
SPI1, (CEBPA | SPI1) & !(GATA1 | GATA2)
JUN, SPI1 & !GFI1
EGR1, (SPI1 & JUN) & !GFI1
EGR2, (SPI1 & JUN) & !GFI1
NAB1, (SPI1 & JUN) & !GFI1
GFI1, CEBPA & !(EGR1 | EGR2 | NAB1)

