Gene,Expression
CBFA2T3,0.166666667
FLI1,0.416666667
GATA1,0
GATA2,0.333333333
HHEX,0.416666667
SPI1,0.333333333
RUNX1,0.083333333
TAL1,0.5
SMAD6,0.416666667
ZFPM1,0.166666667
KLF1,0
CEBPA,0
JUN,0.33333
EGR1,0.16667
EGR2,0
NAB1,0.16667
GFI1,0.08333
