Gene,Expression
CBFA2T3,0.166666667
FLI1,0.416666667
GATA1,0
GATA2,0.333333333
HHEX,0.416666667
SPI1,0.333333333
RUNX1,0.083333333
TAL1,0.5
SMAD6,0.416666667
ZFPM1,0.166666667
